article,title,mapped_top_class
Article 100,"Administrative fines on Union institutions, bodies, offices and agencies",Governance
Article 101,Fines for providers of general-purpose AI models,owl:Thing
Article 102,Amendment to Regulation (EC) No 300/2008,owl:Thing
Article 103,Amendment to Regulation (EU) No 167/2013,owl:Thing
Article 104,Amendment to Regulation (EU) No 168/2013,owl:Thing
Article 105,Amendment to Directive 2014/90/EU,owl:Thing
Article 106,Amendment to Directive (EU) 2016/797,owl:Thing
Article 107,Amendment to Regulation (EU) 2018/858,owl:Thing
Article 108,Amendments to Regulation (EU) 2018/1139,owl:Thing
Article 109,Amendment to Regulation (EU) 2019/2144,owl:Thing
Article 110,Amendment to Directive (EU) 2020/1828,owl:Thing
Article 111,AI systems already placed on the market or put into service and general-purpose AI models already placed on the,owl:Thing
Article 112,Evaluation and review,owl:Thing
Article 113,Entry into force and application,owl:Thing
